time,longitude,latitude,sst
1991-01-01,126.5,37.5,278.0673
1991-02-01,126.5,37.5,276.97018
1991-03-01,126.5,37.5,277.49176
1991-04-01,126.5,37.5,281.29922
1991-05-01,126.5,37.5,286.41058
1991-06-01,126.5,37.5,291.55478
1991-07-01,126.5,37.5,295.02295
1991-08-01,126.5,37.5,297.66226
1991-09-01,126.5,37.5,295.9715
1991-10-01,126.5,37.5,291.9306
1991-11-01,126.5,37.5,285.5876
1991-12-01,126.5,37.5,280.54095
