time,longitude,latitude,tp
1991-01-01,170.0,28.75,120.69442489104674
1991-02-01,170.0,28.75,92.78523930200966
1991-03-01,170.0,28.75,77.98141276115076
1991-04-01,170.0,28.75,67.4626918050522
1991-05-01,170.0,28.75,59.51813915759219
1991-06-01,170.0,28.75,65.89772577117697
1991-07-01,170.0,28.75,95.52162121503807
1991-08-01,170.0,28.75,139.86626072019303
1991-09-01,170.0,28.75,68.56007793477096
1991-10-01,170.0,28.75,66.13343342071455
1991-11-01,170.0,28.75,89.73263785211148
1991-12-01,170.0,28.75,93.80287389542889
