time,longitude,latitude,tp
1991-01-01,169.5,29.0,128.58119406440244
1991-02-01,169.5,29.0,94.67184941634922
1991-03-01,169.5,29.0,83.12098562327313
1991-04-01,169.5,29.0,73.85765393298516
1991-05-01,169.5,29.0,60.98680593232997
1991-06-01,169.5,29.0,67.12033395277818
1991-07-01,169.5,29.0,104.26063462603379
1991-08-01,169.5,29.0,146.7387520601583
1991-09-01,169.5,29.0,69.07328917072242
1991-10-01,169.5,29.0,69.3917149259839
1991-11-01,169.5,29.0,88.75453696380627
1991-12-01,169.5,29.0,104.34319311176887
