time,longitude,latitude,tp
1991-01-01,169.0,28.75,125.35326827035054
1991-02-01,169.0,28.75,91.91244356839648
1991-03-01,169.0,28.75,80.54606820013443
1991-04-01,169.0,28.75,71.23224305388865
1991-05-01,169.0,28.75,60.821206586443154
1991-06-01,169.0,28.75,65.77109209270458
1991-07-01,169.0,28.75,102.83112353710167
1991-08-01,169.0,28.75,145.9011039457196
1991-09-01,169.0,28.75,69.7703366032232
1991-10-01,169.0,28.75,70.41696753818266
1991-11-01,169.0,28.75,84.71070088888087
1991-12-01,169.0,28.75,98.19520073252669
