time,longitude,latitude,tp
1991-01-01,170.0,28.5,113.09274350705104
1991-02-01,170.0,28.5,90.03953677347921
1991-03-01,170.0,28.5,76.49973182873681
1991-04-01,170.0,28.5,65.95237395080123
1991-05-01,170.0,28.5,56.8222324716192
1991-06-01,170.0,28.5,65.07184176853147
1991-07-01,170.0,28.5,94.50096246035037
1991-08-01,170.0,28.5,137.89508439651007
1991-09-01,170.0,28.5,70.38831757189654
1991-10-01,170.0,28.5,66.31330966049654
1991-11-01,170.0,28.5,87.03315854766876
1991-12-01,170.0,28.5,86.47451097820561
