time,longitude,latitude,tp
1991-01-01,150.0,35.0,252.41670472987525
1991-02-01,150.0,35.0,222.95625889838425
1991-03-01,150.0,35.0,214.13308874160222
1991-04-01,150.0,35.0,171.34676686530133
1991-05-01,150.0,35.0,202.0317480704413
1991-06-01,150.0,35.0,238.9193210318799
1991-07-01,150.0,35.0,166.1560498988822
1991-08-01,150.0,35.0,123.3416134826322
1991-09-01,150.0,35.0,188.33992757645845
1991-10-01,150.0,35.0,240.1837990784444
1991-11-01,150.0,35.0,238.35672329032184
1991-12-01,150.0,35.0,256.7131569274211
