time,longitude,latitude,tp
1991-01-01,150.0,40.0,182.65366422001603
1991-02-01,150.0,40.0,172.8896922681101
1991-03-01,150.0,40.0,181.55097381699508
1991-04-01,150.0,40.0,139.66193724239088
1991-05-01,150.0,40.0,128.04427514291507
1991-06-01,150.0,40.0,122.62396944358031
1991-07-01,150.0,40.0,146.94900508814655
1991-08-01,150.0,40.0,134.7061870608658
1991-09-01,150.0,40.0,186.63772152998436
1991-10-01,150.0,40.0,198.41144625692246
1991-11-01,150.0,40.0,179.7114482668706
1991-12-01,150.0,40.0,217.58331066248746
