time,longitude,latitude,tp
1991-01-01,150.0,37.5,228.7054947094075
1991-02-01,150.0,37.5,202.16576261979688
1991-03-01,150.0,37.5,213.58870822606443
1991-04-01,150.0,37.5,161.28609440468668
1991-05-01,150.0,37.5,169.20505760626733
1991-06-01,150.0,37.5,185.52896094936114
1991-07-01,150.0,37.5,189.5013399461623
1991-08-01,150.0,37.5,139.2492238109457
1991-09-01,150.0,37.5,201.60372475533518
1991-10-01,150.0,37.5,232.30244339988022
1991-11-01,150.0,37.5,213.68229924010194
1991-12-01,150.0,37.5,241.51683108005065
